date,TSLA_open,TSLA_high,TSLA_low,TSLA_close,TSLA_volume,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,TQQQ_open,TQQQ_high,TQQQ_low,TQQQ_close,TQQQ_volume,FNGU_open,FNGU_high,FNGU_low,FNGU_close,FNGU_volume,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_volume,AMD_open,AMD_high,AMD_low,AMD_close,AMD_volume
2015-09-08,49.01,49.83,48.81,49.63,15691155,195.94,197.61,195.17,197.43,116025739,15.62,16.07,15.44,16.04,28168817,,,,,,27.91,28.14,27.58,28.08,219374520,1.85,1.88,1.83,1.88,6009499
2015-09-09,50.41,50.85,49.66,49.78,16953940,199.32,199.47,194.35,194.79,149347735,16.59,16.6,15.35,15.48,35160635,,,,,,28.44,28.51,27.44,27.54,340043216,1.9,1.97,1.83,1.85,12612253
2015-09-10,49.45,50.14,49.07,49.7,13545120,194.56,197.22,194.25,195.85,158611063,15.42,16.29,15.36,15.98,30895463,,,,,,27.57,28.32,27.48,28.14,251571324,1.84,1.88,1.83,1.84,4290423
2015-09-11,49.53,50.05,48.95,50.05,11754220,195.38,196.82,194.53,196.74,119691212,15.76,16.23,15.62,16.23,23714736,,,,,,27.95,28.55,27.94,28.55,199661892,1.88,2.14,1.81,2.01,31010289
2015-09-14,50.22,50.85,49.93,50.64,14454255,196.95,197.01,195.43,196.01,79451983,16.42,16.42,15.91,16.09,22083150,,,,,,29.15,29.22,28.72,28.83,233453724,2.0,2.0,1.81,1.82,16458540
2015-09-15,50.55,50.92,49.9,50.71,14667330,196.61,198.99,195.96,198.46,113806176,16.21,16.82,16.03,16.65,19081596,,,,,,28.98,29.13,28.61,29.07,173364620,1.84,1.87,1.81,1.86,6524360
2015-09-16,50.61,52.58,50.58,52.45,22085405,198.82,200.41,198.41,200.18,99581557,16.69,16.99,16.5,16.93,17551818,,,,,,29.06,29.14,28.86,29.1,148693956,1.87,1.9,1.85,1.89,4928291
2015-09-17,52.79,53.1,52.14,52.41,17929060,200.02,202.89,199.28,199.73,276046618,16.91,17.73,16.75,16.98,30294995,,,,,,28.92,29.12,28.43,28.48,256450564,1.9,1.94,1.87,1.89,5831567
2015-09-18,51.59,52.76,51.5,52.12,18815320,195.71,198.68,194.96,195.45,223657456,16.2,16.84,16.16,16.26,34042733,,,,,,28.05,28.58,27.97,28.36,297141164,1.87,1.92,1.85,1.87,11814043
2015-09-21,52.8,54.31,51.16,52.84,30600775,196.44,197.68,195.21,196.46,105726209,16.51,16.79,15.96,16.4,25038972,,,,,,28.42,28.84,28.42,28.8,200887860,1.87,1.9,1.81,1.81,5377758
2015-09-22,51.81,52.53,51.17,52.19,18321765,193.88,194.46,192.56,193.91,153890876,15.64,15.82,15.21,15.67,35474597,,,,,,28.35,28.55,28.13,28.35,201384636,1.8,1.84,1.72,1.73,9975166
2015-09-23,52.39,52.42,51.52,52.21,13003890,194.11,194.67,192.91,193.6,92790620,15.78,15.91,15.45,15.7,27970073,,,,,,28.41,28.68,28.33,28.58,143026864,1.76,1.78,1.69,1.7,9649200
2015-09-24,51.91,52.69,51.24,52.62,17240955,192.15,193.45,190.56,192.9,159378840,15.24,15.7,14.83,15.52,36729419,,,,,,28.31,28.88,28.09,28.75,200877900,1.68,1.73,1.66,1.72,11247701
2015-09-25,53.32,53.38,51.23,51.38,18866960,194.64,195.0,191.81,192.85,155054777,16.04,16.07,14.84,15.14,35477759,,,,,,29.11,29.17,28.51,28.68,224607704,1.75,1.75,1.68,1.71,5644642
2015-09-28,51.47,51.96,49.32,49.69,24505285,191.78,191.91,187.64,188.01,178515871,14.93,14.96,13.7,13.84,45007025,,,,,,28.46,28.64,28.11,28.11,208436044,1.69,1.7,1.66,1.66,5693063
2015-09-29,50.09,50.95,49.09,49.33,18515770,188.27,189.74,186.93,188.12,159045572,13.94,14.36,13.32,13.63,45719039,,,,,,28.21,28.38,26.97,27.27,293461536,1.67,1.69,1.65,1.67,7005323
2015-09-30,50.4,50.48,48.47,49.68,24647910,190.37,191.82,189.44,191.63,163452044,14.2,14.6,14.03,14.53,41733209,,,,,,27.54,27.89,27.18,27.58,265892132,1.7,1.72,1.68,1.72,5739499
2015-10-01,49.5,49.7,47.43,47.98,22864820,192.08,192.49,189.82,192.13,131078964,14.62,14.75,14.05,14.74,27408281,,,,,,27.27,27.41,26.83,27.4,255716400,1.77,1.77,1.72,1.74,5531739
2015-10-02,47.12,49.54,46.99,49.51,22119910,189.77,195.03,189.12,195.0,211003342,14.14,15.52,14.0,15.5,39675731,,,,,,27.0,27.75,26.89,27.6,232079032,1.76,1.83,1.72,1.83,7146087
2015-10-05,49.77,49.97,48.83,49.23,18449325,196.46,198.74,196.33,198.47,126320842,15.86,16.31,15.76,16.21,26019065,,,,,,27.47,27.84,27.27,27.7,208258972,1.82,1.87,1.77,1.8,7595560
2015-10-06,48.0,48.61,47.12,48.29,26179485,198.31,198.98,197.0,197.79,110274530,16.09,16.23,15.57,15.97,28765001,,,,,,27.66,27.94,27.44,27.83,195427908,1.8,1.86,1.8,1.83,8665487
2015-10-07,47.33,47.54,45.82,46.39,34069795,198.9,199.82,197.48,199.41,124307295,16.26,16.35,15.63,16.23,31638665,,,,,,27.94,27.94,27.35,27.7,187062200,1.82,1.87,1.82,1.86,7859214
2015-10-08,46.02,46.14,44.26,45.34,30666080,198.95,201.55,198.59,201.21,153055231,16.06,16.52,15.59,16.43,36484307,,,,,,27.55,27.55,27.05,27.38,247918308,1.87,1.95,1.85,1.93,9198667
2015-10-09,44.19,44.87,43.67,44.14,30791850,201.38,201.9,200.58,201.33,107069240,16.45,16.75,16.32,16.63,21902868,,,,,,27.5,28.07,27.37,28.03,211064560,1.92,1.96,1.89,1.96,8629061
2015-10-12,44.6,44.6,43.05,43.12,19181515,201.42,201.76,200.91,201.52,56395585,16.76,16.87,16.57,16.77,19067238,,,,,,28.18,28.19,27.86,27.9,121868816,1.96,1.96,1.85,1.87,7687701
2015-10-13,42.66,44.5,42.23,43.85,25857675,200.65,202.16,200.05,200.25,88038718,16.48,17.0,16.4,16.44,26620499,,,,,,27.71,28.11,27.67,27.95,132197024,1.87,1.94,1.86,1.92,6698446
2015-10-14,44.13,44.19,43.09,43.38,15522230,200.18,200.87,198.94,199.29,99106161,16.45,16.7,16.16,16.37,22916616,,,,,,27.82,27.88,27.39,27.55,177849796,1.92,1.96,1.92,1.95,10184322
2015-10-15,43.29,44.35,42.74,44.26,14221165,200.08,202.36,199.64,202.35,134142195,16.55,17.18,16.48,17.17,26821289,,,,,,27.73,28.03,27.62,27.97,150693808,1.97,2.06,1.95,1.97,27327109
2015-10-16,44.61,46.1,44.57,45.4,21672465,202.83,203.29,201.92,203.27,114580052,17.29,17.42,17.03,17.39,16580172,,,,,,27.95,28.0,27.63,27.76,156930436,2.0,2.0,1.89,1.94,21544863
2015-10-19,45.3,46.23,44.99,45.62,12539475,202.5,203.37,202.13,203.37,76523897,17.3,17.73,17.21,17.7,20452668,,,,,,27.7,27.94,27.53,27.93,119036612,1.91,2.01,1.91,2.01,10670760
2015-10-20,45.54,45.72,40.4,42.61,74500235,202.85,203.84,202.55,203.09,78448484,17.59,17.71,17.24,17.4,18156720,,,,,,27.84,28.54,27.71,28.44,195871052,2.0,2.03,1.97,2.02,5584188
2015-10-21,42.4,42.96,41.76,42.02,20917355,203.61,203.79,201.65,201.85,102038033,17.68,17.73,17.07,17.12,22061748,,,,,,28.5,28.9,28.43,28.44,169307896,2.02,2.12,2.01,2.1,14966473
2015-10-22,42.31,43.15,41.88,42.34,14125795,202.98,205.51,201.85,205.26,174911723,17.55,18.18,17.41,18.14,32468933,,,,,,28.58,28.88,28.53,28.88,166616356,2.1,2.16,2.09,2.14,8208419
2015-10-23,43.0,43.07,41.54,41.82,21177310,207.25,207.95,206.3,207.51,144442340,19.6,19.89,19.31,19.65,25507403,,,,,,29.18,29.81,29.08,29.77,237467656,2.1,2.21,2.1,2.21,9564205
2015-10-26,42.28,43.18,42.0,43.05,16957190,207.3,207.37,206.56,207.0,69032965,19.62,19.81,19.4,19.71,14986056,,,,,,29.52,29.53,28.73,28.82,265335124,2.21,2.21,2.12,2.15,6313499
2015-10-27,42.97,43.42,41.5,42.07,17597245,206.2,207.0,205.79,206.6,77905770,19.55,19.9,19.53,19.83,13057920,,,,,,28.85,29.14,28.5,28.64,279537600,2.12,2.16,2.1,2.15,5755594
2015-10-28,42.26,42.69,41.66,42.59,13642965,207.0,208.98,206.21,208.95,135906725,19.92,20.31,19.43,20.29,26119943,,,,,,29.23,29.83,29.02,29.82,342205408,2.14,2.2,2.12,2.18,6950607
