date,TSLA_open,TSLA_high,TSLA_low,TSLA_close,TSLA_volume,TQQQ_open,TQQQ_high,TQQQ_low,TQQQ_close,TQQQ_volume,QQQ_open,QQQ_high,QQQ_low,QQQ_close,QQQ_volume,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,VOO_open,VOO_high,VOO_low,VOO_close,VOO_volume,VTI_open,VTI_high,VTI_low,VTI_close,VTI_volume,GLD_open,GLD_high,GLD_low,GLD_close,GLD_volume,SLV_open,SLV_high,SLV_low,SLV_close,SLV_volume,FNGU_open,FNGU_high,FNGU_low,FNGU_close,FNGU_volume,XLF_open,XLF_high,XLF_low,XLF_close,XLF_volume,EEM_open,EEM_high,EEM_low,EEM_close,EEM_volume,SPXS_open,SPXS_high,SPXS_low,SPXS_close,SPXS_volume,SPXL_open,SPXL_high,SPXL_low,SPXL_close,SPXL_volume,VXX_open,VXX_high,VXX_low,VXX_close,VXX_volume,UVXY_open,UVXY_high,UVXY_low,UVXY_close,UVXY_volume,GDX_open,GDX_high,GDX_low,GDX_close,GDX_volume,FXI_open,FXI_high,FXI_low,FXI_close,FXI_volume,TZA_open,TZA_high,TZA_low,TZA_close,TZA_volume,TNA_open,TNA_high,TNA_low,TNA_close,TNA_volume,XLE_open,XLE_high,XLE_low,XLE_close,XLE_volume,IWM_open,IWM_high,IWM_low,IWM_close,IWM_volume,SQQQ_open,SQQQ_high,SQQQ_low,SQQQ_close,SQQQ_volume,TLT_open,TLT_high,TLT_low,TLT_close,TLT_volume,JETS_open,JETS_high,JETS_low,JETS_close,JETS_volume
2015-09-08,49.01,49.83,48.81,49.63,15691155,15.62,16.07,15.44,16.04,28168817,104.12,105.17,103.69,105.04,37343527,195.94,197.61,195.17,197.43,116025739,179.67,181.15,178.92,181.01,2248536,101.59,102.32,101.06,102.28,3342020,107.6,107.94,107.31,107.52,5982061,14.07,14.22,13.94,14.12,5128180,,,,,,18.75,18.88,18.62,18.86,49746460,33.02,33.21,32.86,33.16,53584297,104.0,105.35,101.28,101.4,1198724,18.32,18.77,18.12,18.75,7239772,,,,,,34500.0,35460.0,31945.0,32250.0,33503,13.53,13.74,13.34,13.55,36832868,35.87,36.02,35.56,35.95,43645825,235.6,238.6,229.2,230.4,749058,34.05,34.92,33.67,34.79,7101258,64.48,64.88,63.69,64.79,15627575,114.56,115.57,114.11,115.45,29916293,2006.4,2032.0,1940.8,1947.2,144573,121.38,121.56,120.76,120.87,7049499,23.62,23.81,23.51,23.73,30786
2015-09-09,50.41,50.85,49.66,49.78,16953940,16.59,16.6,15.35,15.48,35160635,106.28,106.31,103.59,103.86,47146743,199.32,199.47,194.35,194.79,149347735,182.8,182.85,178.17,178.57,2125549,103.24,103.4,100.69,100.88,3691164,106.64,106.71,105.48,106.13,8855138,14.0,14.08,13.92,13.93,3114387,,,,,,19.03,19.11,18.56,18.6,43759506,33.78,33.84,32.99,32.99,56389186,98.55,106.25,98.34,105.7,1721413,19.27,19.3,17.85,17.97,9210192,,,,,,28750.0,34070.0,28625.0,33640.0,46746,13.36,13.52,13.1,13.13,54365173,36.81,36.98,35.95,35.99,28563740,225.2,238.4,224.2,238.0,834209,35.51,35.7,33.53,33.66,9857416,65.24,66.02,63.47,63.57,18477687,116.17,116.42,114.01,114.12,40963018,1878.4,2028.72,1877.6,2015.2,162778,119.63,121.7,119.56,121.45,7441863,23.9,24.1,23.67,23.76,29996
2015-09-10,49.45,50.14,49.07,49.7,13545120,15.42,16.29,15.36,15.98,30895463,103.74,105.68,103.62,104.99,47686714,194.56,197.22,194.25,195.85,158611063,178.25,180.78,178.07,179.57,1774435,100.88,102.07,100.63,101.4,3695957,106.61,106.7,106.18,106.38,6203955,14.15,14.16,13.97,13.99,3269475,,,,,,18.59,18.83,18.53,18.69,43671249,33.08,33.53,33.0,33.33,49745400,105.95,106.45,101.6,103.7,1560363,17.88,18.64,17.83,18.26,7876148,,,,,,35580.0,35930.0,31900.0,31955.0,43405,13.35,13.42,13.08,13.12,33086571,35.88,36.41,35.83,36.06,23118316,239.8,240.38,230.6,234.6,707018,33.31,34.65,33.28,34.12,6665896,63.84,64.3,62.96,63.94,18492803,113.75,115.28,113.72,114.64,29877872,2020.8,2027.2,1908.0,1951.2,177726,121.02,121.19,120.45,120.63,6789671,23.89,24.05,23.75,23.79,21841
2015-09-11,49.53,50.05,48.95,50.05,11754220,15.76,16.23,15.62,16.23,23714736,104.51,105.57,104.21,105.57,29106088,195.38,196.82,194.53,196.74,119691212,179.09,180.42,178.33,180.32,2184960,101.04,101.88,100.7,101.86,2007923,105.65,106.2,105.27,106.16,4023894,13.78,13.98,13.64,13.95,4777690,,,,,,18.6,18.77,18.56,18.77,26820870,33.23,33.5,33.17,33.46,42195874,104.6,105.9,102.35,102.35,885364,18.12,18.52,17.89,18.51,5948712,,,,,,32145.0,33240.0,30320.0,30390.0,27766,13.0,13.28,12.62,13.21,63781533,35.86,36.35,35.75,36.34,23290001,237.6,240.41,231.0,231.0,488414,33.65,34.56,33.21,34.54,5942526,63.3,63.45,62.49,63.37,13344252,114.16,115.2,113.66,115.18,27949443,1975.2,1991.2,1915.2,1915.2,115001,121.47,122.08,121.33,121.39,5890921,23.88,24.04,23.81,23.94,19883
2015-09-14,50.22,50.85,49.93,50.64,14454255,16.42,16.42,15.91,16.09,22083150,105.96,105.98,104.85,105.25,19718804,196.95,197.01,195.43,196.01,79451983,180.58,180.58,179.18,179.64,905324,101.91,101.91,101.2,101.47,3711098,105.86,106.39,105.78,106.22,2350848,13.77,13.81,13.7,13.79,3020857,,,,,,18.73,18.79,18.66,18.73,31850300,33.35,33.45,33.15,33.41,39313763,102.05,104.45,101.95,103.6,638499,18.55,18.57,18.14,18.29,3827872,,,,,,30235.0,31800.0,30180.0,30400.0,21870,13.06,13.34,12.91,13.07,37077439,35.92,36.01,35.63,35.98,18000064,229.4,235.6,229.0,234.0,341099,34.84,34.88,33.9,34.09,4511048,62.93,63.21,62.5,62.82,12481263,115.52,115.54,114.43,114.65,22365778,1892.8,1954.4,1892.8,1934.4,68113,121.95,122.14,121.28,121.58,4221733,24.03,24.08,23.94,24.04,33511
2015-09-15,50.55,50.92,49.9,50.71,14667330,16.21,16.82,16.03,16.65,19081596,105.5,106.82,105.11,106.49,30020216,196.61,198.99,195.96,198.46,113806176,180.22,182.42,179.77,181.98,1641534,101.81,102.97,101.53,102.75,2388293,105.83,106.06,105.68,105.9,2904958,13.68,13.78,13.67,13.77,2419564,,,,,,18.81,19.06,18.73,19.0,41064947,33.4,33.82,33.36,33.73,51913629,102.55,103.4,98.8,99.7,877349,18.47,19.14,18.32,19.0,5943236,,,,,,29500.0,29975.0,24320.0,24470.0,36080,13.05,13.31,12.99,13.11,26398040,36.03,36.57,35.95,36.45,14773309,232.8,233.78,225.0,226.4,513694,34.3,35.44,34.17,35.22,6069660,63.02,63.73,63.01,63.52,14816578,114.86,116.19,114.73,115.94,26745295,1916.0,1939.59,1846.4,1863.2,117955,120.89,121.05,119.12,119.25,11894974,24.0,24.21,24.0,24.14,15557
2015-09-16,50.61,52.58,50.58,52.45,22085405,16.69,16.99,16.5,16.93,17551818,106.51,107.19,106.14,107.09,31329146,198.82,200.41,198.41,200.18,99581557,182.34,183.72,181.91,183.57,2098874,102.87,103.73,102.7,103.62,2447541,106.6,107.71,106.56,107.31,5315633,14.05,14.29,14.04,14.22,7054862,,,,,,19.02,19.16,18.92,19.12,28019776,34.28,34.69,34.23,34.55,85209588,99.05,99.7,96.7,97.1,1067870,19.07,19.55,18.98,19.49,8546592,,,,,,22580.0,24130.0,21305.0,21490.0,33762,13.38,13.93,13.37,13.89,81356402,37.16,37.65,37.09,37.54,30082912,226.6,227.6,220.2,221.0,462442,35.25,36.19,35.08,36.09,5687808,64.03,65.41,63.93,65.32,17216657,115.95,117.02,115.79,116.94,27127827,1864.0,1882.16,1827.2,1835.2,128861,118.96,119.44,118.55,118.8,6949781,24.14,24.41,24.07,24.41,55901
2015-09-17,52.79,53.1,52.14,52.41,17929060,16.91,17.73,16.75,16.98,30294995,106.98,108.72,106.64,107.13,56139806,200.02,202.89,199.28,199.73,276046618,183.4,185.99,182.74,183.09,3106238,103.64,105.02,103.24,103.48,4726610,107.07,108.58,106.96,108.41,8403849,14.22,14.58,14.21,14.42,8662080,,,,,,19.11,19.24,18.81,18.86,75252038,34.28,35.35,34.26,34.47,105902366,97.3,98.35,93.12,97.7,2041275,19.45,20.27,19.22,19.35,13971668,,,,,,21190.0,22185.0,17520.0,21125.0,51621,13.72,14.44,13.66,14.27,79245426,36.76,37.94,36.66,37.11,28673100,220.6,222.1,209.6,218.0,792200,36.1,37.92,35.88,36.53,10053618,65.37,66.44,64.86,65.28,19822670,116.92,118.89,116.68,117.34,50405392,1838.4,1854.4,1748.0,1828.8,156614,118.88,120.37,118.73,120.25,19843582,24.28,25.06,24.28,24.81,106198
2015-09-18,51.59,52.76,51.5,52.12,18815320,16.2,16.84,16.16,16.26,34042733,105.23,106.6,105.17,105.35,48383995,195.71,198.68,194.96,195.45,223657456,180.41,182.04,179.69,180.13,3205186,102.05,102.89,101.58,101.84,3271785,109.1,109.38,108.82,109.21,6794284,14.6,14.62,14.41,14.47,4859538,,,,,,18.51,18.6,18.37,18.4,85325563,34.13,34.38,33.69,33.83,90964930,102.1,103.12,99.32,102.5,2274459,18.47,19.02,18.27,18.39,9870208,,,,,,25400.0,27135.0,23665.0,26455.0,46550,14.6,14.71,14.18,14.48,53111926,36.68,36.92,36.19,36.29,32333996,226.6,229.0,221.0,227.0,603194,35.09,36.05,34.7,35.0,10383774,63.58,64.05,62.72,63.1,21236946,115.76,116.84,115.4,115.72,42736050,1913.6,1917.36,1844.0,1905.6,122972,121.21,122.2,121.13,122.1,14963338,24.53,24.68,24.41,24.5,39659
2015-09-21,52.8,54.31,51.16,52.84,30600775,16.51,16.79,15.96,16.4,25038972,105.93,106.55,104.73,105.68,35772624,196.44,197.68,195.21,196.46,105726209,180.15,181.2,178.94,180.1,1467587,102.42,103.02,101.67,102.25,2680261,108.49,108.66,108.33,108.53,4104752,14.49,14.56,14.47,14.49,3384945,,,,,,18.52,18.68,18.49,18.61,47116539,33.84,33.91,33.64,33.77,45318262,100.9,102.85,98.95,100.8,1289573,18.69,19.03,18.33,18.68,7126900,,,,,,24955.0,25570.0,22940.0,23070.0,41196,14.27,14.36,13.99,14.0,58501983,36.75,36.99,36.56,36.81,20131084,222.4,230.8,218.0,228.2,677408,35.75,36.41,34.43,34.84,9931968,63.77,63.93,63.06,63.46,15689677,116.54,117.3,115.08,115.51,33021745,1877.6,1941.6,1843.2,1891.2,132400,121.01,121.11,119.78,120.11,10085551,24.58,24.8,24.4,24.58,12358
