date,open,high,low,close,volume
2015-09-08,49.01,49.83,48.81,49.63,15691155
2015-09-09,50.41,50.85,49.66,49.78,16953940
2015-09-10,49.45,50.14,49.07,49.7,13545120
2015-09-11,49.53,50.05,48.95,50.05,11754220
2015-09-14,50.22,50.85,49.93,50.64,14454255
2015-09-15,50.55,50.92,49.9,50.71,14667330
2015-09-16,50.61,52.58,50.58,52.45,22085405
2015-09-17,52.79,53.1,52.14,52.41,17929060
2015-09-18,51.59,52.76,51.5,52.12,18815320
2015-09-21,52.8,54.31,51.16,52.84,30600775
2015-09-22,51.81,52.53,51.17,52.19,18321765
2015-09-23,52.39,52.42,51.52,52.21,13003890
2015-09-24,51.91,52.69,51.24,52.62,17240955
2015-09-25,53.32,53.38,51.23,51.38,18866960
2015-09-28,51.47,51.96,49.32,49.69,24505285
2015-09-29,50.09,50.95,49.09,49.33,18515770
2015-09-30,50.4,50.48,48.47,49.68,24647910
2015-10-01,49.5,49.7,47.43,47.98,22864820
2015-10-02,47.12,49.54,46.99,49.51,22119910
2015-10-05,49.77,49.97,48.83,49.23,18449325
2015-10-06,48.0,48.61,47.12,48.29,26179485
2015-10-07,47.33,47.54,45.82,46.39,34069795
2015-10-08,46.02,46.14,44.26,45.34,30666080
2015-10-09,44.19,44.87,43.67,44.14,30791850
2015-10-12,44.6,44.6,43.05,43.12,19181515
2015-10-13,42.66,44.5,42.23,43.85,25857675
2015-10-14,44.13,44.19,43.09,43.38,15522230
2015-10-15,43.29,44.35,42.74,44.26,14221165
2015-10-16,44.61,46.1,44.57,45.4,21672465
2015-10-19,45.3,46.23,44.99,45.62,12539475
2015-10-20,45.54,45.72,40.4,42.61,74500235
2015-10-21,42.4,42.96,41.76,42.02,20917355
2015-10-22,42.31,43.15,41.88,42.34,14125795
2015-10-23,43.0,43.07,41.54,41.82,21177310
2015-10-26,42.28,43.18,42.0,43.05,16957190
2015-10-27,42.97,43.42,41.5,42.07,17597245
2015-10-28,42.26,42.69,41.66,42.59,13642965
2015-10-29,42.35,42.75,42.13,42.33,9025160
2015-10-30,42.08,42.33,40.78,41.39,22194505
2015-11-02,41.78,43.16,41.44,42.76,19639720
2015-11-03,42.77,42.89,41.55,41.67,41662430
2015-11-04,45.4,46.55,45.04,46.33,63631830
2015-11-05,46.12,46.92,45.84,46.35,22484215
2015-11-06,46.14,46.67,45.9,46.47,12226465
2015-11-09,46.6,46.6,44.86,45.07,19254300
2015-11-10,44.7,44.74,43.22,43.3,23085035
2015-11-11,43.55,43.9,42.73,43.82,16739030
2015-11-12,43.57,43.8,42.53,42.59,14579500
2015-11-13,42.59,42.6,41.3,41.44,17151635
2015-11-16,41.22,43.0,41.16,42.86,14626975
2015-11-17,43.04,43.2,42.28,42.8,10743395
2015-11-18,42.9,44.28,42.5,44.21,14059500
2015-11-19,44.11,45.24,44.06,44.36,12521875
2015-11-20,44.7,45.0,42.72,44.0,22003610
2015-11-23,43.47,43.84,42.94,43.55,12630995
2015-11-24,43.07,44.2,43.0,43.65,12401465
2015-11-25,44.27,46.17,44.08,45.93,19953895
2015-11-27,46.21,46.45,45.4,46.32,9746765
2015-11-30,46.36,46.86,45.82,46.05,13299065
2015-12-01,46.21,47.6,46.21,47.44,18669775
2015-12-02,47.4,47.72,46.25,46.4,14907340
2015-12-03,47.1,47.49,46.0,46.54,14697820
2015-12-04,46.49,46.65,45.53,46.08,12868015
2015-12-07,45.54,47.13,45.23,46.23,15721115
2015-12-08,45.5,45.76,44.84,45.34,13438180
2015-12-09,45.34,45.5,44.14,44.9,15288765
2015-12-10,44.94,45.7,44.73,45.41,10358460
2015-12-11,45.05,45.15,43.33,43.4,16343630
2015-12-14,43.5,44.18,42.97,43.72,14157590
2015-12-15,44.36,44.44,43.6,44.22,11222120
2015-12-16,44.42,46.98,44.15,46.9,25521705
2015-12-17,46.79,47.55,45.96,46.68,16493190
2015-12-18,46.58,47.18,45.86,46.09,15070850
2015-12-21,46.34,47.17,46.22,46.51,9765870
2015-12-22,47.0,47.31,45.93,45.99,9807475
2015-12-23,46.44,46.69,45.63,45.94,7774895
2015-12-24,46.11,46.38,45.66,46.11,3551385
2015-12-28,46.3,46.4,45.11,45.79,9506520
2015-12-29,46.01,47.54,45.91,47.44,12031450
2015-12-30,47.32,48.73,47.13,47.62,18489605
2015-12-31,47.7,48.69,47.67,48.0,13575190
2016-01-04,46.14,46.28,43.8,44.68,34135730
