Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,4564310,0,0.00,0,0.00,26.87,4482105,82205
IEFA,1313247,0,0.00,0,0.00,60.56,1305852,7395
EZU,1106221,0,0.00,0,0.00,39.16,1049341,56880
RSX,1006829,0,0.00,0,0.00,21.51,1003311,3518
INDA,658996,0,0.00,0,0.00,33.69,657114,1882
USMV,590232,0,0.00,0,0.00,63.42,589871,361
VLUE,585657,0,0.00,0,0.00,73.83,581102,4555
ITB,546141,0,0.00,0,0.00,54.20,544241,1900
CBOE,246088,0,0.00,0,0.00,87.07,244852,1236
EFAV,227660,0,0.00,0,0.00,67.92,225446,2214
IGV,206351,0,0.00,0,0.00,301.00,204758,1593
EFV,194484,0,0.00,0,0.00,41.48,194484,0
GOVT,173986,0,0.00,0,0.00,27.96,172658,1328
JPST,166871,0,0.00,0,0.00,50.81,133836,33035
ARKG,122093,0,0.00,0,0.00,56.05,120410,1683
IEO,116967,0,0.00,0,0.00,28.11,115447,1520
ICVT,112349,0,0.00,0,0.00,78.32,88838,23511
BBEU,112075,0,0.00,0,0.00,23.48,104205,7870
IDV,109870,0,0.00,0,0.00,25.88,109369,501
QUAL,109103,0,0.00,0,0.00,102.94,105420,3683
REM,100670,0,0.00,0,0.00,26.33,99169,1501
MTUM,96942,0,0.00,0,0.00,142.02,96339,603
USHY,91293,0,0.00,0,0.00,39.63,91140,153
CNYA,76579,0,0.00,0,0.00,35.65,75679,900
HEFA,76266,0,0.00,0,0.00,27.69,76266,0
MOAT,69445,0,0.00,0,0.00,54.78,67445,2000
HYD,61910,0,0.00,0,0.00,59.68,61834,76
ACWV,57237,0,0.00,0,0.00,91.38,54509,2728
ECH,57061,0,0.00,0,0.00,24.70,56367,694
IGE,56066,0,0.00,0,0.00,20.95,55966,100
BBAX,50105,0,0.00,0,0.00,23.15,48221,1884
SLVP,46312,0,0.00,0,0.00,16.77,46312,0
IYT,45581,0,0.00,0,0.00,198.40,45414,167
IYZ,44310,0,0.00,0,0.00,27.70,44279,31
ARKQ,44136,0,0.00,0,0.00,56.80,43985,151
VNM,42685,0,0.00,0,0.00,14.76,41417,1268
ICSH,40745,0,0.00,0,0.00,50.57,38836,1909
JMST,40433,0,0.00,0,0.00,51.03,40433,0
EFG,35634,0,0.00,0,0.00,88.92,35634,0
NEAR,35554,0,0.00,0,0.00,50.13,35510,44
EEMV,32924,0,0.00,0,0.00,54.94,32924,0
PSEP,32660,0,0.00,0,0.00,26.18,24285,8375
BBJP,31743,0,0.00,0,0.00,24.16,31294,449
NOBL,31237,0,0.00,0,0.00,72.45,31164,73
BBCA,27321,0,0.00,0,0.00,24.29,26715,606
FLOT,25401,0,0.00,0,0.00,50.69,25401,0
PTLC,23511,0,0.00,0,0.00,29.33,23511,0
ESGV,23105,0,0.00,0,0.00,61.19,23076,29
ITA,22336,0,0.00,0,0.00,160.04,22336,0
BBUS,19698,0,0.00,0,0.00,60.88,18398,1300
FBCG,17294,0,0.00,0,0.00,23.90,17294,0
TMFC,16365,0,0.00,0,0.00,31.48,16365,0
TAIL,16040,0,0.00,0,0.00,21.70,15940,100
FFHG,15993,0,0.00,0,0.00,24.85,15993,0
GSEW,15888,0,0.00,0,0.00,49.24,15788,100
ATMP,13637,0,0.00,0,0.00,9.69,13637,0
PAWZ,13174,0,0.00,0,0.00,56.76,7255,5919
JCPB,12880,0,0.00,0,0.00,55.75,12080,800
PICK,12452,0,0.00,0,0.00,27.63,12452,0
PJUL,11881,0,0.00,0,0.00,27.48,11881,0
NULV,9974,0,0.00,0,0.00,29.20,9974,0
FDG,9809,0,0.00,0,0.00,62.27,9809,0
EMHY,9695,0,0.00,0,0.00,44.91,9300,395
OILK,9521,0,0.00,0,0.00,34.32,9521,0
DFEB,9492,0,0.00,0,0.00,30.92,9492,0
NUMV,9291,0,0.00,0,0.00,25.59,9291,0
IAGG,9182,0,0.00,0,0.00,55.57,9182,0
IBMM,8300,0,0.00,0,0.00,27.15,8300,0
ICF,8229,0,0.00,0,0.00,104.00,8229,0
FFTG,7781,0,0.00,0,0.00,27.81,7781,0
PDEC,7714,0,0.00,0,0.00,27.59,7714,0
SMDV,7675,0,0.00,0,0.00,48.44,7675,0
IQDG,7590,0,0.00,0,0.00,32.22,7590,0
SMMV,7539,0,0.00,0,0.00,29.74,7539,0
FFSG,7202,0,0.00,0,0.00,26.83,7202,0
PJAN,7097,0,0.00,0,0.00,29.13,7097,0
NURE,7020,0,0.00,0,0.00,23.73,6220,800
XSHD,7006,0,0.00,0,0.00,16.08,7005,1
ACES,6982,0,0.00,0,0.00,49.33,6982,0
VXZ,6613,0,0.00,0,0.00,33.08,6613,0
PTEU,6538,0,0.00,0,0.00,23.17,6538,0
IZRL,6392,0,0.00,0,0.00,24.37,6392,0
DAUG,6277,0,0.00,0,0.00,31.68,2222,4055
FFEB,6227,0,0.00,0,0.00,30.84,6227,0
VSGX,6203,0,0.00,0,0.00,51.60,6183,20
IETC,6154,0,0.00,0,0.00,41.63,6152,2
IBML,6107,0,0.00,0,0.00,26.29,6107,0
BBRE,5804,0,0.00,0,0.00,73.87,5804,0
SHYD,5741,0,0.00,0,0.00,24.31,5741,0
FAUG,5591,0,0.00,0,0.00,32.15,5436,155
GSST,5405,0,0.00,0,0.00,50.74,5405,0
BUFF,5365,0,0.00,0,0.00,31.55,5365,0
SMB,5311,0,0.00,0,0.00,18.11,4993,318
LQDI,5301,0,0.00,0,0.00,28.09,5301,0
PTNQ,5180,0,0.00,0,0.00,46.95,5180,0
EMGF,5137,0,0.00,0,0.00,43.44,5037,100
NULG,5030,0,0.00,0,0.00,49.50,5030,0
NUSC,4958,0,0.00,0,0.00,29.05,4958,0
JPGB,4948,0,0.00,0,0.00,50.71,4948,0
CSM,4927,0,0.00,0,0.00,76.00,4927,0
MLN,4637,0,0.00,0,0.00,21.43,4637,0
EDEN,4625,0,0.00,0,0.00,82.75,4625,0
TDV,4598,0,0.00,0,0.00,43.37,4598,0
KNG,4571,0,0.00,0,0.00,43.66,4571,0
IYLD,4479,0,0.00,0,0.00,22.80,4479,0
IBMO,4425,0,0.00,0,0.00,26.96,4425,0
PRNT,4362,0,0.00,0,0.00,23.00,4361,1
ITM,4295,0,0.00,0,0.00,51.38,4295,0
VFVA,4257,0,0.00,0,0.00,62.79,2653,1604
BBIN,4226,0,0.00,0,0.00,48.75,4226,0
PAVE,4211,0,0.00,0,0.00,16.72,4111,100
HEEM,4101,0,0.00,0,0.00,26.73,4101,0
WUGI,4054,0,0.00,0,0.00,41.50,4054,0
ENOR,4045,0,0.00,0,0.00,21.18,4045,0
DRSK,4008,0,0.00,0,0.00,31.14,3907,101
DJUN,4000,0,0.00,0,0.00,31.30,800,3200
FBCV,3996,0,0.00,0,0.00,20.64,3996,0
EFNL,3957,0,0.00,0,0.00,40.44,3957,0
BAUG,3803,0,0.00,0,0.00,27.65,3803,0
ESCR,3801,0,0.00,0,0.00,22.70,3801,0
GVAL,3675,0,0.00,0,0.00,18.03,3675,0
IYJ,3606,0,0.00,0,0.00,164.81,3605,1
TBJL,3491,0,0.00,0,0.00,24.69,3491,0
FLV,3296,0,0.00,0,0.00,48.09,3296,0
SMMD,3258,0,0.00,0,0.00,44.67,3258,0
EFAD,3234,0,0.00,0,0.00,39.25,3234,0
ESML,3230,0,0.00,0,0.00,26.32,3230,0
MEAR,3191,0,0.00,0,0.00,50.26,3191,0
TILT,3054,0,0.00,0,0.00,122.05,2774,280
SMIN,2924,0,0.00,0,0.00,34.01,2924,0
IFRA,2909,0,0.00,0,0.00,24.36,2909,0
PTMC,2859,0,0.00,0,0.00,27.27,2859,0
QVAL,2825,0,0.00,0,0.00,24.11,2825,0
BSEP,2802,0,0.00,0,0.00,26.73,2802,0
LVHI,2706,0,0.00,0,0.00,22.15,2706,0
FLQL,2651,0,0.00,0,0.00,34.35,2651,0
CALF,2634,0,0.00,0,0.00,25.49,2633,1
CEMB,2549,0,0.00,0,0.00,51.93,2549,0
FJUN,2511,0,0.00,0,0.00,32.19,2511,0
MOTI,2414,0,0.00,0,0.00,30.10,2414,0
DALT,2370,0,0.00,0,0.00,8.34,2370,0
FNOV,2300,0,0.00,0,0.00,32.37,2300,0
PMAY,2200,0,0.00,0,0.00,27.26,2200,0
GVI,2153,0,0.00,0,0.00,117.73,2153,0
USEP,2112,0,0.00,0,0.00,25.90,2112,0
SECT,2111,0,0.00,0,0.00,30.45,1911,200
FJUL,2072,0,0.00,0,0.00,30.88,2072,0
REGL,2047,0,0.00,0,0.00,54.30,2047,0
EBLU,2043,0,0.00,0,0.00,33.95,2043,0
KOCT,2001,0,0.00,0,0.00,24.52,2001,0
BBSA,1924,0,0.00,0,0.00,26.32,1924,0
MFMS,1867,0,0.00,0,0.00,30.70,1867,0
KJAN,1845,0,0.00,0,0.00,25.96,1845,0
NUMG,1845,0,0.00,0,0.00,40.83,1845,0
UOCT,1839,0,0.00,0,0.00,25.63,1839,0
IVAL,1829,0,0.00,0,0.00,25.47,1829,0
DDWM,1784,0,0.00,0,0.00,26.06,1584,200
PBTP,1757,0,0.00,0,0.00,25.84,1757,0
JPHY,1681,0,0.00,0,0.00,50.31,1481,200
VFMO,1669,0,0.00,0,0.00,90.63,1419,250
DTEC,1647,0,0.00,0,0.00,37.39,1647,0
BJAN,1603,0,0.00,0,0.00,29.94,1603,0
BDEC,1587,0,0.00,0,0.00,27.89,1587,0
FMIL,1544,0,0.00,0,0.00,20.50,1544,0
